developer,mensaje
"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)","Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 85, Neutral = 31, Positive = 29"
Crystal Shard,"Crystal Shard : Negative = 2, Neutral = 0, Positive = 0"
Crytek,"Crytek : Negative = 44, Neutral = 27, Positive = 14"
Crytek Studios,"Crytek Studios : Negative = 14, Neutral = 0, Positive = 3"
Curve Studios,"Curve Studios : Negative = 1, Neutral = 1, Positive = 0"
Cyan Worlds,"Cyan Worlds : Negative = 0, Neutral = 0, Positive = 1"
Cyanide,"Cyanide : Negative = 2, Neutral = 0, Positive = 0"
Cyanide Montreal,"Cyanide Montreal : Negative = 1, Neutral = 1, Positive = 0"
Cyanide Studio,"Cyanide Studio : Negative = 2, Neutral = 2, Positive = 1"
Cyanide Studio - Spiders Studios,"Cyanide Studio - Spiders Studios : Negative = 1, Neutral = 0, Positive = 0"
Cyanide Studios,"Cyanide Studios : Negative = 0, Neutral = 7, Positive = 2"
CyberConnect2 Co. Ltd.,"CyberConnect2 Co. Ltd. : Negative = 17, Neutral = 5, Positive = 7"
"CyberConnect2 Co., Ltd.","CyberConnect2 Co., Ltd. : Negative = 8, Neutral = 1, Positive = 2"
Cyberdreams,"Cyberdreams : Negative = 0, Neutral = 2, Positive = 0"
Cyberlore,"Cyberlore : Negative = 0, Neutral = 1, Positive = 0"
Cybertime System,"Cybertime System : Negative = 1, Neutral = 0, Positive = 2"
D-Pad Studio,"D-Pad Studio : Negative = 5, Neutral = 0, Positive = 1"
DICE,"DICE : Negative = 66, Neutral = 29, Positive = 17"
DIMPS,"DIMPS : Negative = 19, Neutral = 3, Positive = 7"
DL Softworks,"DL Softworks : Negative = 2, Neutral = 3, Positive = 1"
DONTNOD Entertainment,"DONTNOD Entertainment : Negative = 10, Neutral = 1, Positive = 0"
"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 79, Neutral = 26, Positive = 16"
DR Studios,"DR Studios : Negative = 4, Neutral = 3, Positive = 3"
Daedalic Entertainment,"Daedalic Entertainment : Negative = 7, Neutral = 3, Positive = 1"
"Damian Sommer,Emily Carroll","Damian Sommer,Emily Carroll : Negative = 1, Neutral = 1, Positive = 0"
"Dan  Walters,Ceri Williams","Dan  Walters,Ceri Williams : Negative = 1, Neutral = 2, Positive = 1"
Dan Fornace,"Dan Fornace : Negative = 2, Neutral = 3, Positive = 1"
Dan Walters,"Dan Walters : Negative = 1, Neutral = 1, Positive = 0"
Dancing Dragon Games,"Dancing Dragon Games : Negative = 2, Neutral = 0, Positive = 0"
Daniel Davies,"Daniel Davies : Negative = 2, Neutral = 0, Positive = 1"
Daniel Jonathan Bourke,"Daniel Jonathan Bourke : Negative = 2, Neutral = 2, Positive = 3"
Dark Amber Softworks,"Dark Amber Softworks : Negative = 0, Neutral = 0, Positive = 1"
Dark Artz Entertainment,"Dark Artz Entertainment : Negative = 0, Neutral = 0, Positive = 1"
Dark Day Interactive,"Dark Day Interactive : Negative = 1, Neutral = 1, Positive = 0"
Dark Energy Digital Ltd.,"Dark Energy Digital Ltd. : Negative = 2, Neutral = 2, Positive = 0"
DarkElite,"DarkElite : Negative = 1, Neutral = 1, Positive = 1"
Darklight Games,"Darklight Games : Negative = 0, Neutral = 0, Positive = 1"
Data Realms,"Data Realms : Negative = 5, Neutral = 3, Positive = 1"
David OReilly,"David OReilly : Negative = 13, Neutral = 13, Positive = 5"
David Stark,"David Stark : Negative = 1, Neutral = 0, Positive = 0"
David Szymanski,"David Szymanski : Negative = 4, Neutral = 1, Positive = 1"
David Williamson,"David Williamson : Negative = 1, Neutral = 0, Positive = 0"
Day 1 Studios,"Day 1 Studios : Negative = 6, Neutral = 4, Positive = 0"
Daybreak Game Company,"Daybreak Game Company : Negative = 265, Neutral = 70, Positive = 70"
Days of Wonder,"Days of Wonder : Negative = 1, Neutral = 0, Positive = 0"
DeXP,"DeXP : Negative = 0, Neutral = 1, Positive = 0"
Dead Mage,"Dead Mage : Negative = 0, Neutral = 1, Positive = 0"
Dead Shark Triplepunch,"Dead Shark Triplepunch : Negative = 4, Neutral = 1, Positive = 0"
Decent Machine,"Decent Machine : Negative = 1, Neutral = 1, Positive = 0"
Deck13,"Deck13 : Negative = 1, Neutral = 0, Positive = 0"
Deck13 Hamburg,"Deck13 Hamburg : Negative = 2, Neutral = 0, Positive = 0"
Deconstructeam,"Deconstructeam : Negative = 3, Neutral = 0, Positive = 3"
Deep Red Limited,"Deep Red Limited : Negative = 1, Neutral = 1, Positive = 0"
Deep Silver Volition,"Deep Silver Volition : Negative = 104, Neutral = 45, Positive = 53"
"Deep Silver Volition,High Voltage Software","Deep Silver Volition,High Voltage Software : Negative = 6, Neutral = 5, Positive = 4"
Defence Alliance Team,"Defence Alliance Team : Negative = 3, Neutral = 0, Positive = 1"
Defiant Development,"Defiant Development : Negative = 6, Neutral = 1, Positive = 0"
Deion Mobile,"Deion Mobile : Negative = 1, Neutral = 0, Positive = 0"
"Dejobaan Games, LLC","Dejobaan Games, LLC : Negative = 4, Neutral = 2, Positive = 0"
Dekovir Entertainment,"Dekovir Entertainment : Negative = 3, Neutral = 0, Positive = 1"
Demiurge Studios,"Demiurge Studios : Negative = 4, Neutral = 2, Positive = 0"
Dennaton Games,"Dennaton Games : Negative = 65, Neutral = 44, Positive = 36"
Desert Owl Games LLC,"Desert Owl Games LLC : Negative = 0, Neutral = 0, Positive = 1"
Destructive Creations,"Destructive Creations : Negative = 0, Neutral = 0, Positive = 2"
Devil's Details,"Devil's Details : Negative = 8, Neutral = 2, Positive = 2"
Dharker Studio,"Dharker Studio : Negative = 1, Neutral = 0, Positive = 1"
DiezelPower,"DiezelPower : Negative = 3, Neutral = 1, Positive = 3"
Digerati Distribution,"Digerati Distribution : Negative = 4, Neutral = 2, Positive = 0"
DiggerWorld Ltd.,"DiggerWorld Ltd. : Negative = 0, Neutral = 1, Positive = 4"
Digital Arrow,"Digital Arrow : Negative = 1, Neutral = 0, Positive = 0"
Digital Confectioners,"Digital Confectioners : Negative = 28, Neutral = 7, Positive = 15"
Digital Dawn Studios,"Digital Dawn Studios : Negative = 1, Neutral = 0, Positive = 0"
Digital Extremes,"Digital Extremes : Negative = 327, Neutral = 83, Positive = 112"
Digital Happiness,"Digital Happiness : Negative = 1, Neutral = 0, Positive = 0"
Digital Leisure Inc.,"Digital Leisure Inc. : Negative = 0, Neutral = 1, Positive = 0"
Digital Melody,"Digital Melody : Negative = 3, Neutral = 0, Positive = 0"
Digital Tentacle,"Digital Tentacle : Negative = 0, Neutral = 1, Positive = 0"
Digitalmindsoft,"Digitalmindsoft : Negative = 15, Neutral = 9, Positive = 5"
Diminished Studios,"Diminished Studios : Negative = 1, Neutral = 0, Positive = 0"
Dimmdrive Inc.,"Dimmdrive Inc. : Negative = 1, Neutral = 0, Positive = 0"
Dingaling,"Dingaling : Negative = 2, Neutral = 1, Positive = 0"
Dingo Games,"Dingo Games : Negative = 2, Neutral = 1, Positive = 0"
Dinosaur Polo Club,"Dinosaur Polo Club : Negative = 10, Neutral = 2, Positive = 0"
Dischan Media,"Dischan Media : Negative = 4, Neutral = 0, Positive = 0"
Disney Interactive,"Disney Interactive : Negative = 1, Neutral = 0, Positive = 0"
DnS Development,"DnS Development : Negative = 2, Neutral = 0, Positive = 0"
Doctor Entertainment AB,"Doctor Entertainment AB : Negative = 14, Neutral = 10, Positive = 2"
DolphinBarn,"DolphinBarn : Negative = 1, Neutral = 0, Positive = 0"
DotEmu,"DotEmu : Negative = 2, Neutral = 2, Positive = 1"
Double Action Factory,"Double Action Factory : Negative = 21, Neutral = 9, Positive = 17"
Double Damage Games,"Double Damage Games : Negative = 0, Neutral = 0, Positive = 1"
"Double Eleven,Q-Games Ltd.","Double Eleven,Q-Games Ltd. : Negative = 1, Neutral = 0, Positive = 1"
Double Fine Productions,"Double Fine Productions : Negative = 41, Neutral = 20, Positive = 9"
Double Helix Games,"Double Helix Games : Negative = 1, Neutral = 0, Positive = 1"
"Double Helix Games,Rainbow Studios,THQ Nordic","Double Helix Games,Rainbow Studios,THQ Nordic : Negative = 7, Neutral = 1, Positive = 0"
DoubleBear Productions,"DoubleBear Productions : Negative = 3, Neutral = 0, Positive = 0"
DoubleDutch Games,"DoubleDutch Games : Negative = 43, Neutral = 14, Positive = 21"
Doublesix Games,"Doublesix Games : Negative = 1, Neutral = 0, Positive = 0"
Dovetail Games,"Dovetail Games : Negative = 18, Neutral = 8, Positive = 5"
Dragonfly,"Dragonfly : Negative = 22, Neutral = 3, Positive = 6"
"Dragonfly GF Co., LTD","Dragonfly GF Co., LTD : Negative = 0, Neutral = 0, Positive = 1"
Dreadbit,"Dreadbit : Negative = 0, Neutral = 1, Positive = 0"
Dreampainters,"Dreampainters : Negative = 1, Neutral = 0, Positive = 1"
DrinkBox Studios,"DrinkBox Studios : Negative = 9, Neutral = 0, Positive = 2"
Drixy Games,"Drixy Games : Negative = 1, Neutral = 0, Positive = 0"
Droqen,"Droqen : Negative = 0, Neutral = 1, Positive = 0"
Dry Cactus,"Dry Cactus : Negative = 1, Neutral = 1, Positive = 0"
Duelboot,"Duelboot : Negative = 1, Neutral = 0, Positive = 0"
Dylan Fitterer,"Dylan Fitterer : Negative = 29, Neutral = 9, Positive = 14"
EA - Maxis,"EA - Maxis : Negative = 2, Neutral = 1, Positive = 0"
"EA - Maxis,Aspyr (Mac)","EA - Maxis,Aspyr (Mac) : Negative = 3, Neutral = 1, Positive = 1"
EA Black Box,"EA Black Box : Negative = 0, Neutral = 0, Positive = 1"
EA Los Angeles,"EA Los Angeles : Negative = 14, Neutral = 5, Positive = 7"
EA Redwood Shores,"EA Redwood Shores : Negative = 6, Neutral = 7, Positive = 3"
ES Team,"ES Team : Negative = 1, Neutral = 0, Positive = 0"
EVGA,"EVGA : Negative = 0, Neutral = 1, Positive = 0"
EXE-CREATE,"EXE-CREATE : Negative = 1, Neutral = 0, Positive = 0"
EXOR Studios,"EXOR Studios : Negative = 0, Neutral = 1, Positive = 1"
Eagle Dynamics SA,"Eagle Dynamics SA : Negative = 1, Neutral = 0, Positive = 0"
EasyAntiCheat Ltd,"EasyAntiCheat Ltd : Negative = 2, Neutral = 0, Positive = 0"
EasyGameStation,"EasyGameStation : Negative = 8, Neutral = 3, Positive = 1"
Ed Key and David Kanaga,"Ed Key and David Kanaga : Negative = 6, Neutral = 2, Positive = 2"
Edelweiss,"Edelweiss : Negative = 1, Neutral = 1, Positive = 1"
"Eden Games,Hydravision Entertainment","Eden Games,Hydravision Entertainment : Negative = 0, Neutral = 1, Positive = 0"
Eden Industries,"Eden Industries : Negative = 3, Neutral = 1, Positive = 1"
Eden Studios,"Eden Studios : Negative = 3, Neutral = 2, Positive = 2"
Edge Case Games Ltd.,"Edge Case Games Ltd. : Negative = 12, Neutral = 5, Positive = 0"
Edge of Reality,"Edge of Reality : Negative = 208, Neutral = 66, Positive = 92"
Edmund McMillen and Florian Himsl,"Edmund McMillen and Florian Himsl : Negative = 105, Neutral = 51, Positive = 30"
"Edmund McMillen, Florian Himsl","Edmund McMillen, Florian Himsl : Negative = 3, Neutral = 0, Positive = 2"
"Edmund McMillen,James Id","Edmund McMillen,James Id : Negative = 1, Neutral = 0, Positive = 0"
"Edmund McMillen,Tyler Glaiel","Edmund McMillen,Tyler Glaiel : Negative = 0, Neutral = 0, Positive = 1"
Eforb,"Eforb : Negative = 2, Neutral = 1, Positive = 1"
Egamea Game Studios,"Egamea Game Studios : Negative = 2, Neutral = 0, Positive = 0"
Eggcode,"Eggcode : Negative = 1, Neutral = 0, Positive = 0"
Eggtooth Team,"Eggtooth Team : Negative = 1, Neutral = 0, Positive = 0"
Egosoft,"Egosoft : Negative = 8, Neutral = 7, Positive = 1"
Eidos Interactive,"Eidos Interactive : Negative = 0, Neutral = 1, Positive = 0"
"Eidos Montreal,Feral Interactive (Mac)","Eidos Montreal,Feral Interactive (Mac) : Negative = 18, Neutral = 4, Positive = 4"
Eidos Studio Hungary,"Eidos Studio Hungary : Negative = 2, Neutral = 0, Positive = 1"
"Eidos-Montréal,Feral Interactive (Mac)","Eidos-Montréal,Feral Interactive (Mac) : Negative = 10, Neutral = 5, Positive = 9"
EightyEightGames,"EightyEightGames : Negative = 2, Neutral = 2, Positive = 1"
Eko Software,"Eko Software : Negative = 17, Neutral = 7, Positive = 11"
Ekuator Games,"Ekuator Games : Negative = 1, Neutral = 0, Positive = 0"
Elder Games,"Elder Games : Negative = 1, Neutral = 0, Positive = 0"
Elecorn,"Elecorn : Negative = 3, Neutral = 5, Positive = 2"
Electronic Arts,"Electronic Arts : Negative = 6, Neutral = 3, Positive = 3"
Eleon Game Studios,"Eleon Game Studios : Negative = 2, Neutral = 2, Positive = 0"
"Elias Viglione,Jussi Kukkonen","Elias Viglione,Jussi Kukkonen : Negative = 6, Neutral = 4, Positive = 4"
Elijah Newman-Gomez,"Elijah Newman-Gomez : Negative = 11, Neutral = 5, Positive = 1"
Elite Games Team,"Elite Games Team : Negative = 1, Neutral = 0, Positive = 0"
Elixir Studios,"Elixir Studios : Negative = 2, Neutral = 1, Positive = 0"
Elliptic Games,"Elliptic Games : Negative = 2, Neutral = 0, Positive = 0"
Emmanuel Salva Cruz,"Emmanuel Salva Cruz : Negative = 2, Neutral = 0, Positive = 0"
Empires,"Empires : Negative = 1, Neutral = 0, Positive = 1"
Empty Clip Studios,"Empty Clip Studios : Negative = 0, Neutral = 1, Positive = 1"
Endgame Studios,"Endgame Studios : Negative = 1, Neutral = 0, Positive = 0"
Endless Loop Studios,"Endless Loop Studios : Negative = 1, Neutral = 1, Positive = 0"
Endlessfluff Games,"Endlessfluff Games : Negative = 2, Neutral = 0, Positive = 0"
Endnight Games Ltd,"Endnight Games Ltd : Negative = 100, Neutral = 37, Positive = 32"
Ensemble Studios,"Ensemble Studios : Negative = 20, Neutral = 2, Positive = 5"
Entheogen Studios LLC,"Entheogen Studios LLC : Negative = 0, Neutral = 1, Positive = 0"
Entrada Interactive LLC,"Entrada Interactive LLC : Negative = 2, Neutral = 2, Positive = 0"
"Epic Games, Inc.","Epic Games, Inc. : Negative = 8, Neutral = 1, Positive = 1"
Epiphany Games,"Epiphany Games : Negative = 1, Neutral = 0, Positive = 0"
"Eric Chahi,DotEmu","Eric Chahi,DotEmu : Negative = 1, Neutral = 0, Positive = 0"
"Eric Hartman,Ben Garney,Anthony Rotondo","Eric Hartman,Ben Garney,Anthony Rotondo : Negative = 10, Neutral = 6, Positive = 3"
Eric Provan - Ayyo Games,"Eric Provan - Ayyo Games : Negative = 0, Neutral = 1, Positive = 0"
Erik Asmussen,"Erik Asmussen : Negative = 7, Neutral = 1, Positive = 1"
"Erik Svedäng,El Huervo / Niklas Åkerblad,Tobias Sjögren,Oscar ""Ratvader"" Rydelius,Johannes Gotlén","Erik Svedäng,El Huervo / Niklas Åkerblad,Tobias Sjögren,Oscar ""Ratvader"" Rydelius,Johannes Gotlén : Negative = 1, Neutral = 0, Positive = 0"
Eugen Systems,"Eugen Systems : Negative = 20, Neutral = 12, Positive = 6"
Eurocom,"Eurocom : Negative = 0, Neutral = 1, Positive = 0"
Everything Unlimited Ltd.,"Everything Unlimited Ltd. : Negative = 13, Neutral = 14, Positive = 10"
Evil Twin Artworks,"Evil Twin Artworks : Negative = 1, Neutral = 1, Positive = 0"
ExDream GmbH,"ExDream GmbH : Negative = 1, Neutral = 1, Positive = 0"
Exato Game Studios,"Exato Game Studios : Negative = 1, Neutral = 0, Positive = 0"
Exato Games Studio,"Exato Games Studio : Negative = 3, Neutral = 1, Positive = 1"
Excalibur,"Excalibur : Negative = 0, Neutral = 1, Positive = 0"
Exe Games Inc.,"Exe Games Inc. : Negative = 5, Neutral = 6, Positive = 9"
Exor Studios,"Exor Studios : Negative = 1, Neutral = 0, Positive = 2"
"Expansive Worlds,Avalanche Studios","Expansive Worlds,Avalanche Studios : Negative = 35, Neutral = 32, Positive = 19"
Extend Studio,"Extend Studio : Negative = 2, Neutral = 0, Positive = 1"
Eyebrow Interactive,"Eyebrow Interactive : Negative = 2, Neutral = 0, Positive = 0"
Eyedentity Games Inc.,"Eyedentity Games Inc. : Negative = 17, Neutral = 1, Positive = 2"
Eyemobi Ltd.,"Eyemobi Ltd. : Negative = 1, Neutral = 0, Positive = 0"
Eyzi,"Eyzi : Negative = 5, Neutral = 6, Positive = 4"
FOAM Entertainment,"FOAM Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Fabio Ferrara,"Fabio Ferrara : Negative = 5, Neutral = 2, Positive = 3"
"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita","Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita : Negative = 21, Neutral = 15, Positive = 3"
"Fabio Ferrara,Giulia Airoldi","Fabio Ferrara,Giulia Airoldi : Negative = 0, Neutral = 1, Positive = 1"
Facepunch Studios,"Facepunch Studios : Negative = 1291, Neutral = 479, Positive = 489"
Failbetter Games,"Failbetter Games : Negative = 4, Neutral = 1, Positive = 0"
"Fancy Bytes, Reactor","Fancy Bytes, Reactor : Negative = 1, Neutral = 0, Positive = 0"
FarSight Studios,"FarSight Studios : Negative = 3, Neutral = 0, Positive = 1"
Farsky Interactive,"Farsky Interactive : Negative = 5, Neutral = 2, Positive = 2"
Fatshark,"Fatshark : Negative = 15, Neutral = 2, Positive = 5"
Fayju,"Fayju : Negative = 2, Neutral = 0, Positive = 0"
Fermenter Games,"Fermenter Games : Negative = 1, Neutral = 0, Positive = 0"
Fictiorama Studios,"Fictiorama Studios : Negative = 0, Neutral = 1, Positive = 0"
"Filip Victor,Valve","Filip Victor,Valve : Negative = 2, Neutral = 0, Positive = 1"
Final Boss Entertainment,"Final Boss Entertainment : Negative = 0, Neutral = 1, Positive = 0"
Final Form Games,"Final Form Games : Negative = 3, Neutral = 0, Positive = 0"
"Finji,Kittehface Software","Finji,Kittehface Software : Negative = 1, Neutral = 0, Positive = 0"
Firaxis Games,"Firaxis Games : Negative = 10, Neutral = 5, Positive = 1"
"Firaxis Games,Aspyr (Mac, Linux)","Firaxis Games,Aspyr (Mac, Linux) : Negative = 240, Neutral = 50, Positive = 51"
"Firaxis Games,Feral Interactive (Mac)","Firaxis Games,Feral Interactive (Mac) : Negative = 1, Neutral = 0, Positive = 0"
"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)","Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 66, Neutral = 20, Positive = 11"
FireFly Studios,"FireFly Studios : Negative = 23, Neutral = 11, Positive = 6"
Firebase Industries Ltd.,"Firebase Industries Ltd. : Negative = 0, Neutral = 1, Positive = 0"
Firemint,"Firemint : Negative = 1, Neutral = 0, Positive = 0"
Fishcow Studio,"Fishcow Studio : Negative = 0, Neutral = 1, Positive = 0"
Fishing Planet LLC,"Fishing Planet LLC : Negative = 10, Neutral = 0, Positive = 2"
Fishlabs Entertainment GmbH,"Fishlabs Entertainment GmbH : Negative = 0, Neutral = 1, Positive = 0"
Fistful of Frags Team,"Fistful of Frags Team : Negative = 56, Neutral = 18, Positive = 40"
Fixpoint Productions Ltd.,"Fixpoint Productions Ltd. : Negative = 2, Neutral = 0, Positive = 0"
"Flashback Games,The Lordz Games Studio","Flashback Games,The Lordz Games Studio : Negative = 1, Neutral = 0, Positive = 0"
Flump Studios,"Flump Studios : Negative = 0, Neutral = 1, Positive = 0"
Flying Cafe for Semianimals,"Flying Cafe for Semianimals : Negative = 1, Neutral = 0, Positive = 0"
Flying Wild Hog,"Flying Wild Hog : Negative = 23, Neutral = 6, Positive = 5"
Flyleap Studios Pty. Ltd.,"Flyleap Studios Pty. Ltd. : Negative = 5, Neutral = 0, Positive = 0"
Focus Home Interactive,"Focus Home Interactive : Negative = 1, Neutral = 2, Positive = 3"
Forbes Consult Ltd,"Forbes Consult Ltd : Negative = 1, Neutral = 0, Positive = 0"
Forever Entertainment S. A.,"Forever Entertainment S. A. : Negative = 5, Neutral = 3, Positive = 3"
Four Quarters,"Four Quarters : Negative = 1, Neutral = 1, Positive = 1"
FourbitFriday,"FourbitFriday : Negative = 0, Neutral = 1, Positive = 0"
Fractal Phase,"Fractal Phase : Negative = 0, Neutral = 1, Positive = 0"
FreakZone Games,"FreakZone Games : Negative = 3, Neutral = 0, Positive = 3"
Freakinware Studios,"Freakinware Studios : Negative = 7, Neutral = 0, Positive = 5"
Fred Wood,"Fred Wood : Negative = 2, Neutral = 1, Positive = 1"
Free Lives,"Free Lives : Negative = 56, Neutral = 12, Positive = 37"
Freebird Games,"Freebird Games : Negative = 40, Neutral = 11, Positive = 12"
Freegamer,"Freegamer : Negative = 0, Neutral = 1, Positive = 0"
Freejam,"Freejam : Negative = 163, Neutral = 56, Positive = 48"
Frictional Games,"Frictional Games : Negative = 19, Neutral = 22, Positive = 14"
Frima Studio,"Frima Studio : Negative = 1, Neutral = 0, Positive = 0"
Frogames,"Frogames : Negative = 3, Neutral = 1, Positive = 0"
Frogdice,"Frogdice : Negative = 0, Neutral = 2, Positive = 0"
Frogwares,"Frogwares : Negative = 6, Neutral = 2, Positive = 0"
FromSoftware,"FromSoftware : Negative = 58, Neutral = 46, Positive = 24"
"FromSoftware, Inc","FromSoftware, Inc : Negative = 49, Neutral = 27, Positive = 18"
"Frontier,Aspyr (Mac)","Frontier,Aspyr (Mac) : Negative = 4, Neutral = 1, Positive = 2"
Frontwing,"Frontwing : Negative = 2, Neutral = 0, Positive = 0"
Frozenbyte,"Frozenbyte : Negative = 30, Neutral = 5, Positive = 4"
Fugazo,"Fugazo : Negative = 1, Neutral = 0, Positive = 0"
Full Control,"Full Control : Negative = 1, Neutral = 1, Positive = 0"
Full Control Studios,"Full Control Studios : Negative = 4, Neutral = 2, Positive = 0"
Fullbright,"Fullbright : Negative = 30, Neutral = 9, Positive = 1"
Funcom,"Funcom : Negative = 7, Neutral = 1, Positive = 2"
"Funselektor Labs Inc.,FlippFly","Funselektor Labs Inc.,FlippFly : Negative = 4, Neutral = 1, Positive = 0"
Furiously Inactive Games,"Furiously Inactive Games : Negative = 1, Neutral = 0, Positive = 0"
Futuremark,"Futuremark : Negative = 0, Neutral = 1, Positive = 0"
"GAME ARTS Co., Ltd.,SkyBox Labs","GAME ARTS Co., Ltd.,SkyBox Labs : Negative = 1, Neutral = 0, Positive = 0"
GDT Limited,"GDT Limited : Negative = 1, Neutral = 0, Positive = 0"
GSC Game World,"GSC Game World : Negative = 17, Neutral = 2, Positive = 1"
GTGD,"GTGD : Negative = 1, Neutral = 0, Positive = 0"
GabberGames.com,"GabberGames.com : Negative = 1, Neutral = 0, Positive = 0"
Gaijin Entertainment,"Gaijin Entertainment : Negative = 3, Neutral = 1, Positive = 0"
Gaijin Entertainment Corporation,"Gaijin Entertainment Corporation : Negative = 4, Neutral = 0, Positive = 0"
Gaijin Games,"Gaijin Games : Negative = 24, Neutral = 8, Positive = 6"
Galactic Cafe,"Galactic Cafe : Negative = 58, Neutral = 22, Positive = 15"
GalaxyTrail,"GalaxyTrail : Negative = 6, Neutral = 2, Positive = 1"
Gambrinous,"Gambrinous : Negative = 1, Neutral = 0, Positive = 0"
Game Dev Castle,"Game Dev Castle : Negative = 3, Neutral = 0, Positive = 0"
Game Distillery s.r.o.,"Game Distillery s.r.o. : Negative = 1, Neutral = 0, Positive = 0"
Game Mechanics,"Game Mechanics : Negative = 1, Neutral = 2, Positive = 1"
Game in a Bottle,"Game in a Bottle : Negative = 1, Neutral = 0, Positive = 0"
Game-Labs,"Game-Labs : Negative = 1, Neutral = 1, Positive = 0"
GameArt Studio GmbH,"GameArt Studio GmbH : Negative = 2, Neutral = 0, Positive = 0"
"GameConnect,InterWave Studios","GameConnect,InterWave Studios : Negative = 4, Neutral = 2, Positive = 0"
GameCrafterTeam,"GameCrafterTeam : Negative = 1, Neutral = 0, Positive = 0"
GameORE,"GameORE : Negative = 2, Neutral = 2, Positive = 3"
GamePrix,"GamePrix : Negative = 2, Neutral = 0, Positive = 2"
GameUS Inc.,"GameUS Inc. : Negative = 1, Neutral = 1, Positive = 0"
Gameguyz,"Gameguyz : Negative = 2, Neutral = 0, Positive = 0"
Gamepires,"Gamepires : Negative = 3, Neutral = 0, Positive = 0"
"Games by Robert, LLC","Games by Robert, LLC : Negative = 1, Neutral = 0, Positive = 0"
Gaming Minds,"Gaming Minds : Negative = 1, Neutral = 0, Positive = 0"
Gaming Minds Studios,"Gaming Minds Studios : Negative = 0, Neutral = 1, Positive = 0"
Ganz,"Ganz : Negative = 4, Neutral = 1, Positive = 1"
Gas Powered Games,"Gas Powered Games : Negative = 23, Neutral = 7, Positive = 2"
"Gaslamp Games, Inc.","Gaslamp Games, Inc. : Negative = 5, Neutral = 2, Positive = 0"
Gatling Goat Studios,"Gatling Goat Studios : Negative = 1, Neutral = 0, Positive = 0"
"GearBox Software,Aspyr (Mac &amp; Linux)","GearBox Software,Aspyr (Mac &amp; Linux) : Negative = 0, Neutral = 0, Positive = 1"
Gearbox Software,"Gearbox Software : Negative = 37, Neutral = 9, Positive = 15"
"Gearbox Software,Aspyr (Mac &amp; Linux)","Gearbox Software,Aspyr (Mac &amp; Linux) : Negative = 334, Neutral = 91, Positive = 103"
"Gearbox Software,Aspyr (Mac)","Gearbox Software,Aspyr (Mac) : Negative = 5, Neutral = 1, Positive = 1"
Geek Sloth Games,"Geek Sloth Games : Negative = 1, Neutral = 0, Positive = 0"
Genee Network,"Genee Network : Negative = 0, Neutral = 1, Positive = 0"
General Arcade,"General Arcade : Negative = 2, Neutral = 0, Positive = 0"
Geoff Keighley,"Geoff Keighley : Negative = 1, Neutral = 3, Positive = 0"
GhostShark,"GhostShark : Negative = 9, Neutral = 2, Positive = 1"
Giants Software,"Giants Software : Negative = 18, Neutral = 2, Positive = 10"
Gl33k,"Gl33k : Negative = 1, Neutral = 1, Positive = 1"
Glass Knuckle Games,"Glass Knuckle Games : Negative = 2, Neutral = 0, Positive = 0"
GlyphX Games,"GlyphX Games : Negative = 0, Neutral = 1, Positive = 0"
Going Loud Studios,"Going Loud Studios : Negative = 16, Neutral = 3, Positive = 6"
Goldhawk Interactive,"Goldhawk Interactive : Negative = 2, Neutral = 0, Positive = 0"
GolemLabs,"GolemLabs : Negative = 0, Neutral = 1, Positive = 0"
Gone North Games,"Gone North Games : Negative = 3, Neutral = 2, Positive = 0"
Good Games,"Good Games : Negative = 1, Neutral = 0, Positive = 0"
Gravity Interactive,"Gravity Interactive : Negative = 2, Neutral = 1, Positive = 1"
"Gravity, Inc.","Gravity, Inc. : Negative = 4, Neutral = 2, Positive = 4"
"Gravvit Ltd,Forbes  Consult Ltd","Gravvit Ltd,Forbes  Consult Ltd : Negative = 1, Neutral = 0, Positive = 1"
Gray Matter Studios,"Gray Matter Studios : Negative = 1, Neutral = 0, Positive = 2"
Great War Team,"Great War Team : Negative = 4, Neutral = 0, Positive = 1"
Greenheart Games,"Greenheart Games : Negative = 56, Neutral = 18, Positive = 7"
Gremlin Interactive,"Gremlin Interactive : Negative = 0, Neutral = 1, Positive = 0"
Grey Alien Games,"Grey Alien Games : Negative = 1, Neutral = 0, Positive = 0"
Grey Havens,"Grey Havens : Negative = 73, Neutral = 24, Positive = 44"
Grip Games,"Grip Games : Negative = 2, Neutral = 2, Positive = 0"
"Gromada,Buka Entertainment","Gromada,Buka Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Grynsoft,"Grynsoft : Negative = 2, Neutral = 1, Positive = 2"
HE SAW,"HE SAW : Negative = 0, Neutral = 1, Positive = 0"
